0	24
1	6
2	17
3	16
4	8
5	15
6	14
7	18
8	10
9	12
10	12
11	20
12	15
13	16
14	12
15	9
16	10
17	18
18	11
19	18
20	17
21	10
22	12
23	20
24	17
25	17
26	12
27	11
28	13
29	12
30	9
31	12
32	13
33	9
34	16
35	10
36	15
37	10
38	16
39	11
40	21
41	16
42	8
43	13
44	13
45	14
46	12
47	14
48	15
49	11
50	7
51	16
52	12
53	16
54	16
55	16
56	11
57	12
58	8
59	12
60	13
61	14
62	11
63	11
64	14
65	14
66	11
67	16
68	13
69	16
70	11
71	14
72	16
73	8
74	11
75	2
76	6
77	13
78	12
79	5
80	13
81	10
82	18
83	15
84	15
85	22
86	15
87	10
88	9
89	10
90	13
91	13
92	4
93	15
94	10
95	12
96	17
97	11
98	17
99	13
100	14
101	8
102	11
103	9
104	12
105	11
106	18
107	18
108	16
109	17
110	11
111	14
112	14
113	13
114	11
115	21
116	5
117	6
118	6
