0	198
1	104
2	78
3	68
4	64
5	48
6	60
7	60
8	47
9	56
10	69
11	70
12	95
13	87
14	105
15	105
16	81
17	93
18	80
19	71
20	67
21	60
22	45
23	61
24	42
25	32
26	28
27	35
28	37
29	32
30	25
31	21
32	22
33	21
34	15
35	23
36	20
37	14
38	16
39	12
40	12
41	13
42	13
43	11
44	13
45	11
46	3
47	10
48	5
49	3
50	10
51	5
52	3
53	3
54	6
55	3
56	2
57	3
58	6
59	2
60	0
61	6
62	1
63	1
64	2
65	1
66	5
67	2
68	1
69	0
70	2
71	2
72	2
73	0
74	1
75	1
76	0
77	1
78	1
79	1
80	0
81	1
82	1
83	0
84	0
85	1
86	0
87	0
88	1
89	0
90	0
91	1
92	0
93	0
94	0
95	1
96	1
97	0
98	0
99	0
100	1
101	1
102	0
103	0
104	0
105	0
106	1
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	1
120	0
121	0
122	1
123	1
124	0
125	0
126	0
127	0
128	1
